date_detected,timestamp,title,slug,outcome,type,side,price,size,usdcSize,asset,transactionHash
2026-05-26 15:08:37,1779799668,"Will the price of Bitcoin be above $78,000 on May 26?",bitcoin-above-78k-on-may-26-2026,No,TRADE,BUY,0.924,70,65.02409,14658893069672317885388728058038617297662316167660245758411111871452668226283,0x387ca994e1731d840fe66b728ceda23652dda87d119ef9055c35c9b323522716
2026-05-26 15:08:37,1779799601,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.93,230,214.94811,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x068fd3c4fd5f167e2dd1c5f88e0e74f9f57e24758a23f85ed7e0cb29b15fe687
2026-05-26 15:08:37,1779799598,"Will Bitcoin reach $78,000 on May 26?",will-bitcoin-reach-78k-on-may-26,No,TRADE,BUY,0.64,6,3.84,63046365328317475095088274760775100639081837613432576428582914584497519766670,0x6cd07e843cf8b8f0921e5a5b38932fc48474114a36cc142016c23f22d0f9be86
2026-05-26 15:08:37,1779799547,"Will the price of Bitcoin be between $78,000 and $80,000 on May 26?",will-the-price-of-bitcoin-be-between-78000-80000-on-may-26-2026,No,TRADE,BUY,0.93,440,411.20508,89825981471271232929499222091693176490611251677486306330362067390787902252899,0x70e89bee245a6b74e7db8130154e3a683ea40d4519c017b8f0392f1f61f2a336
2026-05-26 15:08:37,1779799547,"Will the price of Bitcoin be between $76,000 and $78,000 on May 26?",will-the-price-of-bitcoin-be-between-76000-78000-on-may-26-2026,Yes,TRADE,BUY,0.88,218.82,194.17911,27816498921535806143796071076973933680747500966093816317112273250888220177007,0xd77c8dcd58f57dd605e3121f88dc559b9ec08c99010504cd8688cb24199da06c
2026-05-26 15:08:37,1779799545,"Will the price of Bitcoin be between $76,000 and $78,000 on May 26?",will-the-price-of-bitcoin-be-between-76000-78000-on-may-26-2026,Yes,TRADE,BUY,0.88,412,365.6055,27816498921535806143796071076973933680747500966093816317112273250888220177007,0x88456980c0b8df93311918e565de568e370de9470f52ae3e2efc9f7de0d842ce
2026-05-26 15:08:37,1779799430,"Will Bitcoin dip to $74,000 May 25-31?",will-bitcoin-dip-to-74k-may-25-31-2026,No,TRADE,BUY,0.72,360,259.2,19005802504150953235789211677236304485365414100336749443802595635019119757267,0xf2b801c35f4fdefb96393986696a053e2c6a8c07bc62577cc916dfd8b1f544d1
2026-05-26 15:08:37,1779799430,"Will the price of Bitcoin be above $78,000 on May 26?",bitcoin-above-78k-on-may-26-2026,No,TRADE,BUY,0.923,2500,2307.5,14658893069672317885388728058038617297662316167660245758411111871452668226283,0xa83d28df52882ebfe54b8760f10c8ce3ba897c5ba0d1db94288e28cfc984c735
2026-05-26 15:08:37,1779799423,"Will the price of Bitcoin be above $78,000 on May 26?",bitcoin-above-78k-on-may-26-2026,No,TRADE,BUY,0.924,60,55.734939999999995,14658893069672317885388728058038617297662316167660245758411111871452668226283,0xcf6c2af5b717fa3d01c150c826914209d98775a4af41d60b95e1aaf30f49bd3f
2026-05-26 15:08:37,1779799404,"Will Bitcoin reach $80,000 May 25-31?",will-bitcoin-reach-80k-may-25-31-2026,No,TRADE,BUY,0.72,900,648,24988207044012259644831357552691249488174950036285829175438770540546706110339,0xaaacf6b4167873b053912950ea8fcfc86ae96b26abe08f769efa22e228ad691e
